naam,land,plaats,categorie,functie,type,bouwjaar,lon,lat
Grote Volmolen,Nederland,Gouda,watermolen,"volmolen, runmolen",getijdenmolen,1631,4.7104633,52.0115205
Bovenste Neustadtmolen/ Hofkensmolen,Nederland,Maastricht,watermolen,korenmolen,watergedreven molen,1795,5.6909725,50.8513682
Geelmolen I en II,Nederland,Vaassen,watermolen,papiermolen,watergedreven molen,1616,5.9681472,52.2876355
De Amsterdamse Kopermolen/ Wasserij van Delden,Nederland,Vaassen,watermolen,"kopermolen, later papiermolen, wasserij",watergedreven molen,1701,5.9681472,52.2876355
Hertogmolen,Nederland,Moerkapelle,windmolen,electriciteitsopwekking,wipmolen,1978,4.5763794,52.0438616
Molen van Baas,Nederland,Stadskanaal,windmolen,korenmolen,stellingmolen,1898,6.9462217,52.9919853
De Snipperij,Nederland,Kornhorn,windmolen,korenmolen,stellingmolen,1866,6.2425921,53.1811895
Heisterbrugger korenmolen,Nederland,Schinnen,watermolen,"runmolen, korenmolen",watergedreven molen,1848,5.8842384,50.953053
Hoogmolen/ Poellsmolen,Nederland,Venlo,watermolen,onbekend,watergedreven molen,1560,6.1724031,51.3703748
Achterste molen op Lombok/ Heilige Geestmolen/ Stevens geweerfabriek,Nederland,Maastricht,watermolen,"korenmolen, oliemolen",watergedreven molen,1499,5.6909725,50.8513682
Strouvermolen/ Petersmolen/ Molen van Dollaert,Nederland,Maastricht,watermolen,"korenmolen, oliemolen",watergedreven molen,1421,5.6909725,50.8513682
Weidemolen,Nederland,Milsbeek,windmolen,weidemolen,grondzeiler,1910,5.9507432,51.7265999
De Haar/ Molen van Hall,Nederland,Tonden,watermolen,"papiermolen, zaagmolen",watergedreven molen,1661,6.1323271,52.1379608
Erve Zandvoort,Nederland,Bathmen,rosmolen,karnmolen,rosmolen,1904,6.2860997,52.2503032
De Zwaan,Nederland,Vinkel,windmolen,korenmolen,beltmolen,2015,5.4543726,51.704189
Hijskraan St. Bavokerk,Nederland,Haarlem,tredmolen,hijsmechanisme,tredmolen,1519,4.6462194,52.3873878
Karnmolen,Nederland,Pijnacker,rosmolen,karnmolen,karnmolenhuisje,1991,4.431991,52.0194446
De Veldmuis,Nederland,Westzaan,windmolen,onbekend,stellingmolen,2020,4.7719876,52.4642168
Karnmolen,Nederland,Gorssel,rosmolen,karnmolen,karnmolenhuisje,1900,6.2011394,52.201424
Molen bij Westerbeek/ De Oorsprong,Nederland,Beek,watermolen,korenmolen,watergedreven molen,1669,5.7956471,50.9393162
Molen bij Mergelpe/ Startjeshof,Nederland,Beek,watermolen,"korenmolen, papiermolen",watergedreven molen,1350,5.7956471,50.9393162
Karnmolen van 't Duifhuis,Nederland,Overasselt,rosmolen,karnmolen,karnmolenhuisje,1840,5.7866459,51.7599398
Klein Bazemolentje,Nederland,Ugchelen,watermolen,"papiermolen, na 1870 wasserij",onbekend,1654,5.9333064,52.1848178
Molen bij Huize Vierhouten,Nederland,Vierhouten,windmolen,electriciteitsopwekking,beltmolen,1918,5.8297801,52.332086
Koppelpoort,Nederland,Amersfoort,tredmolen,spil voor sluisdeur,tredmolen,1425,5.3878266,52.1561113
Grutterij van Willem ten Oever,Nederland,De Wijk,rosmolen,grutmolen,rosmolen,1832,6.2922178,52.6742848
Het Vergulde Hart,Nederland,Westzaan,windmolen,speelmolen,wipmolen,1958,4.7719876,52.4642168
Boerderij 't Schoolder,Nederland,Bathmen,rosmolen,"karnmolen, dorsmolen",rosmolen,1872,6.2860997,52.2503032
De Orteler Spikker,Nederland,Lettele,rosmolen,karnmolen,rosmolen,1899,6.2719909,52.2765024
