naam,land,plaats,categorie,functie,type,bouwjaar,lon,lat
Polder de Vereeniging,Nederland,Borgercompagnie,windmolen,poldermolen,ronde stenen grondzeiler,1872,6.8055932,53.1342843
De Biks,Nederland,Onnen,windmolen,poldermolen,8-kante grondzeiler,1857,6.6434991,53.1547795
Noordermolen,Nederland,Noorddijk,windmolen,poldermolen,8-kante grondzeiler,1888,6.6272988,53.2442291
Stel's Molen,Nederland,Harkstede,windmolen,koren- pelmolen,8-kante stellingmolen,1851,6.7004451,53.2138533
De Boezemvriend,Nederland,De Groeve,windmolen,poldermolen,8-kante grondzeiler,1871,6.7113367,53.1110383
De Wachter,Nederland,Zuidlaren,windmolen,koren- oliemolen,8-kante stellingmolen,1851,6.6848434,53.0941274
De Zwaluw,Nederland,Oudemolen,windmolen,korenmolen,8-kante grondzeiler,1837,4.4590927,51.6648557
Molen van Rolde,Nederland,Rolde,windmolen,korenmolen,8-kante grondzeiler,1873,6.6469981,52.9871552
Molen van Makkum,Nederland,Beilen/Makkum,windmolen,korenmolen,8-kante grondzeiler,1906,6.5450923,52.8480285
De Korenmolen,Nederland,Etten-Leur,windmolen,korenmolen,ronde stenen stellingmolen,1849,4.6671384,51.5868855
De Arend,Nederland,Wouw,windmolen,korenmolen,ronde stenen beltmolen,1811,4.3887158,51.5218976
Sancto Antonio,Nederland,Halsteren,windmolen,korenmolen,ronde stenen beltmolen,1817,4.2692644,51.528771
Torenmolen Gronsveld,Nederland,Maastricht/Gronsveld,windmolen,korenmolen,torenmolen beltmolen,1623,5.7316401,50.8093304
De Nieuwe Molen,Nederland,Veenendaal,windmolen,korenmolen,ronde stenen stellingmolen,1911,5.5544309,52.0263009
De Vriendschap,Nederland,Veenendaal,windmolen,korenmolen,8-kante stellingmolen,1872,5.5544309,52.0263009
De Vlijt,Nederland,Wageningen,windmolen,korenmolen,ronde stenen stellingmolen,1879,5.6653948,51.9691868
Oostzijdse Molen / Mondriaanmolen,Nederland,Abcoude,windmolen,poldermolen,8-kante grondzeiler,1874,4.9704743,52.272071
Molen van de polder Westerveer,Nederland,Spanbroek,windmolen,poldermolen,8-kante grondzeiler,1873,4.9587439,52.6984009
De Kaagmolen,Nederland,Opmeer / Spanbroek,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1654,4.9587439,52.6984009
De Lastdrager,Nederland,Hoogwoud,windmolen,korenmolen,8-kante grondzeiler,1645,4.9345332,52.7165189
Molen van Polder De Lage Hoek (vh. De Vier Winden),Nederland,Hoogwoud,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1891,4.9345332,52.7165189
Obdammermolen,Nederland,Obdam,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1698,4.9081883,52.6760192
Molen A van de polder Geestmerambacht,Nederland,Sint Pancras,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1663,4.7867781,52.6655556
Strijkmolen C (Zes Wielen),Nederland,Oudorp (Alkmaar),windmolen,poldermolen,8-kante grondzeiler binnenkruier,1627,4.7736544,52.6303937
Strijkmolen D (Zes Wielen),Nederland,Oudorp (Alkmaar),windmolen,poldermolen,8-kante grondzeiler binnenkruier,1627,4.7736544,52.6303937
De Eendracht,Nederland,Alkmaar,windmolen,poldermolen,ronde stenen grondzeiler,1771,4.7533754,52.6323813
De Bloem / De Blom,Nederland,Amsterdam-West (Stadsdeel West),windmolen,korenmolen,8-kante stellingmolen,1878,4.8732429,52.3657122
Broekzijdse Molen,Nederland,Abcoude,windmolen,poldermolen,8-kante grondzeiler,1641,4.9704743,52.272071
Meermolen / De Onrust,Nederland,Muiderberg,windmolen,poldermolen,8-kante grondzeiler,1809,5.1173828,52.3268757
De Stijve Molen,Nederland,Meerkerk / Den Dool,windmolen,poldermolen,wipmolen,1665,4.9899362,51.9184658
Boterslootse molen,Nederland,Noordeloos,windmolen,poldermolen,wipmolen,1837,4.944463,51.9041025
Oudendijkse Molen,Nederland,Hoornaar,windmolen,poldermolen,wipmolen,1683,4.9446089,51.8818928
De Scheiwijksemolen,Nederland,Hoornaar,windmolen,poldermolen,wipmolen,1638,4.9446089,51.8818928
Westmolen,Nederland,Gorinchem,windmolen,poldermolen,wipmolen,1817,4.9758292,51.8372247
Oostmolen,Nederland,Gorinchem,windmolen,poldermolen,wipmolen,1817,4.9758292,51.8372247
Nooit Volmaakt,Nederland,Gorinchem,windmolen,korenmolen,ronde stenen stellingmolen,1718,4.9758292,51.8372247
Achterste of Laaglandse Molen,Nederland,Hellouw,windmolen,poldermolen,wipmolen,1864,5.1774625,51.8277306
Voorste of Hooglandse Molen,Nederland,Hellouw,windmolen,poldermolen,wipmolen,1803,5.1774625,51.8277306
Poldermolen Waardenburg,Nederland,Waardenburg,windmolen,poldermolen,8-kante grondzeiler,1867,5.2570147,51.8316905
Doesburgermolen,Nederland,Ede-Kernhem/Doesburgerbuurt,windmolen,korenmolen,standerdmolen (gesloten),1471,5.6330053,52.0506822
De Korenbloem,Nederland,Loil (Didam),windmolen,korenmolen,ronde stenen beltmolen,1855,6.1298591,51.9411937
St. Martinus,Nederland,Didam,windmolen,korenmolen,ronde stenen beltmolen,1855,6.1298591,51.9411937
Bernadette,Nederland,Nieuw Wehl,windmolen,korenmolen,ronde stenen grondzeiler,1861,6.1729358,51.9677354
De Volharding,Nederland,Zeddam,windmolen,korenmolen,ronde stenen beltmolen,1891,6.2583142,51.9033324
Braamtse Molen,Nederland,Braamt,windmolen,korenmolen,ronde stenen grondzeiler,1856,6.2643586000000004,51.9226581
De Witten,Nederland,Etten,windmolen,korenmolen,ronde stenen beltmolen,1861,6.3387627,51.9158139
De Kwaksmölle / De Haan,Nederland,Varsseveld,windmolen,korenmolen,ronde stenen beltmolen,1859,6.4630534,51.9435959
De Engel,Nederland,Varsseveld,windmolen,korenmolen,ronde stenen stellingmolen,1849,6.4630534,51.9435959
Hermien,Nederland,Harreveld,windmolen,korenmolen,8-kante beltmolen,1819,6.5144451,51.9802834
De Oldemeule of Oelemölle,Nederland,Oele/Hengelo,watermolen,korenmolen,watergedreven molen met onderslagrad,1690,6.7528473,52.2463678
Ons Belang/Lindesche Molen,Nederland,Linde,windmolen,korenmolen,8-kante beltmolen,1890,6.4477951,52.6394212
Molen van Sellink,Nederland,Winterswijk-Meddo,windmolen,korenmolen,ronde stenen beltmolen,1873,6.7129254,52.0108053
Sevink Mölle/Sevinkmolen/De Zorg,Nederland,Meddo,windmolen,korenmolen,ronde stenen beltmolen,1866,6.7129254,52.0108053
Den Helder,Nederland,Winterswijk,watermolen,koren- oliemolen,watergedreven molen met onderslagrad,1303,6.720509,51.9713139
De Venemansmolen/De Oude Molen,Nederland,Winterswijk,windmolen,korenmolen,8-kante stellingmolen,1898,6.720509,51.9713139
Bataaf,Nederland,Winterswijk,windmolen,korenmolen,8-kante beltmolen,1801,6.720509,51.9713139
De Piepermolen,Nederland,Rekken,windmolen,korenmolen,ronde stenen beltmolen,1796,6.723281,52.0941369
Oostendorperwatermolen,Nederland,Langelo/Haaksbergen,watermolen,koren- oliemolen,watergedreven molen met onderslagrad,1548,6.7074909,52.1425767
Hackfortermolen,Nederland,Vorden,windmolen,korenmolen,ronde stenen stellingmolen,1851,6.3140488,52.1044492
Watermolen Hackfort,Nederland,Vorden,watermolen,koren- elektriciteitsopwekking,watergedreven molen met onderslagrad,1700,6.3140488,52.1044492
Nooit Gedacht,Nederland,Warnsveld,windmolen,korenmolen,8-kante stellingmolen,1905,6.2237936,52.1399988
Geertruida Cornelia (vh. De Eesterhoek),Nederland,Gorssel,windmolen,korenmolen,ronde stenen grondzeiler,1893,6.2011394,52.201424
De Roode Leeuw,Nederland,Gouda,windmolen,korenmolen,ronde stenen stellingmolen,1727,4.7104633,52.0115205
Eendrachtsmolen,Nederland,Zevenhuizen,windmolen,poldermolen,8-kante grondzeiler,1727,4.5876983,52.0116076
Tweemanspolder Molen nr. 1,Nederland,Zevenhuizen,windmolen,poldermolen,8-kante grondzeiler,1730,4.5876983,52.0116076
Tweemanspolder Molen nr. 2,Nederland,Zevenhuizen,windmolen,poldermolen,8-kante grondzeiler,1729,4.5876983,52.0116076
Tweemanspolder Molen nr. 3,Nederland,Zevenhuizen,windmolen,poldermolen,8-kante grondzeiler,1792,4.5876983,52.0116076
Tweemanspolder Molen nr. 4,Nederland,Zevenhuizen,windmolen,poldermolen,8-kante grondzeiler,1722,4.5876983,52.0116076
De Morgenster,Nederland,Aarlanderveen,windmolen,korenmolen,8-kante stellingmolen,1870,4.728984,52.1409426
Rietveldsemolen,Nederland,Hazerswoude-Dorp,windmolen,poldermolen,8-kante grondzeiler,1648,4.5845985,52.0968416
Blauwe Wip of  Geremolen,Nederland,Hazerswoude-Dorp,windmolen,poldermolen,wipmolen,1636,4.5845985,52.0968416
Rooie Wip,Nederland,Hazerswoude-Dorp,windmolen,poldermolen,wipmolen,1639,4.5845985,52.0968416
Bovenmolen v.d. Zoetermeerse Polder,Nederland,Zoetermeer,windmolen,poldermolen,8-kante grondzeiler,1787,4.494025,52.060669
Ondermolen v.d. Zoetermeerse Polder,Nederland,Zoetermeer,windmolen,poldermolen,8-kante grondzeiler,1787,4.494025,52.060669
Driemanspolder  ( Bovenmolen ),Nederland,Leidschendam,windmolen,poldermolen,8-kante grondzeiler,1672,4.3996122,52.0798176
Driemanspolder  ( Middelmolen ),Nederland,Leidschendam,windmolen,poldermolen,8-kante grondzeiler,1672,4.3996122,52.0798176
Driemanspolder  (Ondermolen),Nederland,Leidschendam,windmolen,poldermolen,8-kante grondzeiler,1903,4.3996122,52.0798176
Laakmolen of Galgemolen,Nederland,'s-Gravenhage (Den Haag),windmolen,poldermolen,8-kante grondzeiler,1699,4.3006999,52.0704978
Nieuwe Veenmolen of Boschmolen,Nederland,'s-Gravenhage (Den Haag),windmolen,poldermolen,8-kante grondzeiler,1654,4.3006999,52.0704978
Zelden van Passe,Nederland,Zoeterwoude-Dorp,windmolen,poldermolen,8-kante grondzeiler,1642,4.4969741,52.1218204
Rodenburgermolen,Nederland,Leiden,windmolen,poldermolen,ronde stenen grondzeiler,1893,4.4970097000000004,52.1601144
De Herder,Nederland,Leiden,windmolen,houtzaagmolen,8-kante stellingmolen,1884,4.4970097000000004,52.1601144
Marendijkmolen,Nederland,Leiden,windmolen,poldermolen,wipmolen,1735,4.4970097000000004,52.1601144
Hogeveense of Hoogeveense Molen,Nederland,Noordwijkerhout,windmolen,poldermolen,8-kante grondzeiler,1654,4.4955838,52.2601939
De Veenmolen,Nederland,Wilnis,windmolen,korenmolen,8-kante grondzeiler,1823,4.9041875,52.1956103
Hensbroekermolen,Nederland,Hensbroek,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1866,4.8848386,52.6581914
Geestmolen,Nederland,Rijnsaterwoude,windmolen,poldermolen,8-kante grondzeiler,1707,4.6716523,52.198906
Moppemolen,Nederland,Rijpwetering,windmolen,poldermolen,8-kante grondzeiler,1752,4.5823688,52.193109
De Googermolen,Nederland,Oude Wetering / Roelofarendsveen,windmolen,poldermolen,ronde stenen grondzeiler,1717,4.6402743,52.214425
De Jonge Willem / De Zonnemolen,Nederland,Roelofarendsveen,windmolen,korenmolen,8-kante grondzeiler,1881,4.6312247,52.2018801
Havekes Mölle (vh. De Volharding),Nederland,Twello,windmolen,korenmolen,8-kante stellingmolen,1898,6.0981404,52.2375538
Bolwerksmolen,Nederland,Deventer,windmolen,houtzaagmolen,8-kante stellingmolen,1863,6.1552165,52.2660751
Pelmolen Ter Horst,Nederland,Rijssen,windmolen,olie- pelmolen,8-kante stellingmolen,1752,6.5213493,52.3081686
Soaseler Möl,Nederland,Saasveld,windmolen,korenmolen,ronde stenen grondzeiler,1870,6.8074325,52.331452
De Vier Winden,Nederland,Reutum/Weerselo,windmolen,korenmolen,8-kante stellingmolen,1862,6.8458257,52.3910739
Fleringer Molen of Gröbbemolen,Nederland,Fleringen,windmolen,koren- pelmolen,ronde stenen grondzeiler,1846,6.8048226,52.3806059
Grote Geesterse Molen,Nederland,Geesteren,windmolen,korenmolen,8-kante beltmolen,1867,6.5258544,52.1388797
Lageveensemolen,Nederland,Lisse,windmolen,poldermolen,wipmolen,1890,4.5574834,52.2579303
De Nachtegaal,Nederland,Heemstede,windmolen,korenmolen,ronde stenen stellingmolen,1760,4.6203004,52.3510634
Oukoper Molen,Nederland,Nieuwersluis,windmolen,poldermolen,wipmolen,1839,5.012756,52.1938711
De Ruiter,Nederland,Vreeland,windmolen,korenmolen,8-kante stellingmolen,1776,5.0284187,52.2303508
Molen van de polder Westbroek,Nederland,Oud-Zuilen,windmolen,poldermolen,8-kante grondzeiler,1753,5.0703357,52.1280085
Molen van Polder Buitenweg,Nederland,Oud-Zuilen,windmolen,poldermolen,wipmolen,1830,5.0703357,52.1280085
De Valk,Nederland,Montfoort,windmolen,korenmolen,8-kante stellingmolen,1753,4.9518586000000004,52.0362127
De (Bleeke) Dood,Nederland,Zaandijk,windmolen,korenmolen,8-kante stellingmolen,1656,4.8028179,52.4740433
De Schoolmeester,Nederland,Westzaan,windmolen,papiermolen,6-kante stellingmolen,1692,4.7719876,52.4642168
Het Prinsenhof,Nederland,Westzaan,windmolen,pelmolen,8-kante stellingmolen,1722,4.7719876,52.4642168
Nijverheidspolder,Nederland,Wedderveer,windmolen,poldermolen,8-kante grondzeiler,1880,7.0699351,53.0873213
Philisteinse Molen,Nederland,Bergen (N.H.),windmolen,poldermolen,8-kante grondzeiler binnenkruier,1897,4.7063946,52.6749368
De Wimmenumer Molen,Nederland,Egmond aan den Hoef,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1774,4.6531215,52.6209748
Robonsbosmolen / Munnikenbosmolen,Nederland,Alkmaar,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1781,4.7533754,52.6323813
Ophovenermolen,Nederland,Sittard,watermolen,electriciteitsopwekking,watergedreven molen met middenslagrad,1716,5.8864788,51.0006238
Janssenmolen,Nederland,Oirsbeek,windmolen,korenmolen,ronde stenen beltmolen,1879,5.9079467,50.9501105
Strijthagermolen,Nederland,Schaesberg,watermolen,korenmolen,watergedreven molen met middenslagrad,1700,6.0165746,50.8901807
De Oliemolen,Nederland,Heerlen,watermolen,korenmolen,watergedreven molen met bovenslagrad,1502,5.9794988,50.8881742
Oude Molen/Molen van Houben,Nederland,Simpelveld,watermolen,korenmolen,watergedreven molen met bovenslagrad,1774,5.9826108,50.8340269
Bulkemsmolen,Nederland,Simpelveld,watermolen,korenmolen,watergedreven molen met bovenslagrad,1753,5.9826108,50.8340269
Op de Vrouweheide,Nederland,Ubachsberg/Mingersberg,windmolen,korenmolen,ronde stenen beltmolen,1858,5.9470388,50.8445599
Volmolen,Nederland,Epen-Plaat,watermolen,korenmolen,watergedreven molen met middenslagrad,1882,5.9137339,50.7748368
Wittemermolen,Nederland,Wittem,watermolen,korenmolen,watergedreven molen met middenslagrad,1835,5.9121234,50.8137818
Molen Otten,Nederland,Wijlre,watermolen,koren- elektriciteitsopwekking,watergedreven molen met middenslagrad,1776,5.89428,50.8328661
Windmolen van Banholt,Nederland,Banholt,windmolen,korenmolen,ronde stenen grondzeiler,1877,5.8073292,50.7923877
Breustermolen,Nederland,Eijsden (Breust),watermolen,korenmolen,watergedreven molen met turbine,1788,5.7077516,50.7773424
Graanmolen van Eijsden,Nederland,Eijsden (Laag-Caestert),watermolen,korenmolen,watergedreven molen met onderslagrad,1788,5.7077516,50.7773424
De Kraai,Nederland,Westbroek,windmolen,korenmolen,8-kante stellingmolen,1880,5.1279711,52.151589800000004
Geesina,Nederland,Groenekan,windmolen,korenmolen,ronde stenen stellingmolen,1843,5.1526318,52.1231488
De Westermolen,Nederland,Nieuwe Niedorp,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1854,4.8913015,52.7377535
Westbroekmolen / Zuidbuurtse Molen,Nederland,Zoeterwoude-Dorp,windmolen,poldermolen,8-kante grondzeiler,1900,4.4969741,52.1218204
De Drie Koornbloemen,Nederland,Schiedam,windmolen,korenmolen,ronde stenen stellingmolen,1770,4.3988186,51.9169599
De Vrijheid,Nederland,Schiedam,windmolen,korenmolen,ronde stenen stellingmolen,1785,4.3988186,51.9169599
De Noord,Nederland,Schiedam,windmolen,korenmolen,ronde stenen stellingmolen,1803,4.3988186,51.9169599
De Twee Gebroeders,Nederland,Wijk en Aalburg,windmolen,korenmolen,ronde stenen stellingmolen,1872,5.1073758,51.757362
"t Landeke, Polder Johannisseland",Nederland,Werkendam,windmolen,poldermolen,ronde stenen grondzeiler,1902,4.891848,51.8081653
Zandwijkse Molen,Nederland,Uppel,windmolen,poldermolen,wipmolen,1699,4.9399484,51.7896269
De Haas,Nederland,Asperen,windmolen,korenmolen,ronde stenen stellingmolen,1868,5.1127984,51.8812375
De Drie Waaien,Nederland,Afferden,windmolen,korenmolen,ronde stenen stellingmolen,1869,6.0135367,51.634021
De Verrekijker,Nederland,Bergharen,windmolen,korenmolen,ronde stenen beltmolen,1904,5.6661841,51.8504049
De Nijverheid (vh. De Raaf),Nederland,Ravenstein,windmolen,korenmolen,ronde stenen stellingmolen,1857,5.6515008,51.7967784
Bergzicht,Nederland,Gassel,windmolen,korenmolen,8-kante beltmolen,1817,5.7805781,51.7404991
Joannusmolen,Nederland,Heumen,windmolen,korenmolen,ronde stenen grondzeiler,1894,5.8431502,51.7645323
Windmolen Wenum,Nederland,Wenum,windmolen,korenmolen,8-kante grondzeiler,1913,5.9011346,52.2460058
Daams' Molen,Nederland,Vaassen,windmolen,korenmolen,8-kante stellingmolen,1870,5.9681472,52.2876355
De Koe,Nederland,Ermelo,windmolen,korenmolen,8-kante stellingmolen,1872,5.6658492,52.2788704
De Maagd,Nederland,Hulshorst,windmolen,korenmolen,8-kante stellingmolen,1894,5.7252759,52.3624138
De Duif,Nederland,Nunspeet,windmolen,korenmolen,8-kante beltmolen,1886,5.769895,52.3747719
De Tijd,Nederland,Oostendorp-Elburg,windmolen,korenmolen,8-kante stellingmolen,1854,5.8570522,52.4455575
De Zwaluw,Nederland,Hasselt,windmolen,korenmolen,8-kante stellingmolen,1784,6.1004927,52.5945065
De Zwaluw,Nederland,Hoogeveen,windmolen,korenmolen,8-kante stellingmolen,1834,6.4901002,52.7286158
Landzicht (wacht op restauratie),Nederland,Heerjansdam,windmolen,korenmolen,ronde stenen grondzeiler,1868,4.5656402,51.8359184
Polder Schuddebeurs (herbouwplannen),Nederland,Lage Zwaluwe,windmolen,houtzaagmolen,ronde stenen grondzeiler,1794,4.7042699,51.7102543
Hoekse Molen,Nederland,Zevenbergschen Hoek,windmolen,korenmolen,ronde stenen stellingmolen,1873,4.6782725,51.6731202
De Twee Gebroeders,Nederland,Roosendaal,windmolen,korenmolen,ronde stenen stellingmolen,1872,4.4653213,51.535849
Molen van Aerden,Nederland,Nispen,windmolen,korenmolen,ronde stenen beltmolen,1850,4.4532481,51.4864749
Walmolen op bastion Generaliteit,Nederland,Sas van Gent,windmolen,korenmolen,8-kante grondzeiler,1828,3.7999937,51.2276878
Achlumermolen,Nederland,Achlum,windmolen,poldermolen,8-kante grondzeiler,1851,5.4847188,53.1480338
De Pannekoekstermolen of Pankoekstermolen,Nederland,Witmarsum,windmolen,poldermolen,8-kante grondzeiler,1900,5.4667442,53.1023274
De Onderneming,Nederland,Witmarsum,windmolen,koren- pelmolen,8-kante stellingmolen,1850,5.4667442,53.1023274
Lonjé of Tadema's Molen,Nederland,Bolsward,windmolen,poldermolen,8-kante grondzeiler,1824,5.5216963,53.0612531
De Babuurstermolen,Nederland,Tjerkwerd,windmolen,poldermolen,8-kante grondzeiler,1882,5.5025372,53.0423532
De Deels- of Grevensmolen,Nederland,Vegelinsoord,windmolen,poldermolen,8-kante grondzeiler,1860,5.8636397,52.9993439
Penninga's Molen,Nederland,Joure,windmolen,korenmolen,8-kante stellingmolen,1900,5.7971779,52.965521
De Sweachmermolen,Nederland,Langweer,windmolen,water- korenmolen,8-kante stellingmolen,1782,5.723091,52.9583718
De Hersteller,Nederland,Sintjohannesga,windmolen,poldermolen,8-kante grondzeiler,1857,5.8659471,52.9363021
De Middelste of Tweede Molen,Nederland,Cabauw,windmolen,poldermolen,wipmolen,1773,4.8979366,51.9653443
De Westermolen,Nederland,Langerak,windmolen,poldermolen,wipmolen,1652,4.8776587,51.9323151
Goudriaanse Molen,Nederland,Goudriaan,windmolen,poldermolen,8-kante grondzeiler,1779,4.9006544,51.9025271
De Achtkante Molen,Nederland,Groot-Ammers,windmolen,poldermolen,8-kante grondzeiler,1805,4.8253021,51.9246393
De Liefde (vh. De Hoop),Nederland,Streefkerk,windmolen,korenmolen,8-kante stellingmolen,1893,4.74488,51.8998914
Fundering Sluismolen,Nederland,Streefkerk,windmolen,poldermolen,wipmolen,1710,4.74488,51.8998914
Broekmolen,Nederland,Streefkerk,windmolen,poldermolen,wipmolen,1581,4.74488,51.8998914
De Kortlandse molen,Nederland,Alblasserdam,windmolen,poldermolen,ronde stenen grondzeiler,1890,4.6702024,51.8703366
Overwaard Molen No. 1,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 3,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 4 (Contramolen),Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 5,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 6,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 7,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Overwaard Molen No. 8,Nederland,Kinderdijk,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
De Hoge Molen,Nederland,Kinderdijk / Nieuw-Lekkerland,windmolen,poldermolen,8-kante grondzeiler,1740,4.6330916,51.8837436
Kleine of  Lage  Molen,Nederland,Kinderdijk / Nieuw-Lekkerland,windmolen,poldermolen,8-kante grondzeiler,1761,4.6330916,51.8837436
Kyck Over Den Dyck,Nederland,Dordrecht,windmolen,korenmolen,ronde stenen stellingmolen,1713,4.6900929,51.8132979
't Vliegend Hert,Nederland,'s-Gravendeel,windmolen,korenmolen,ronde stenen stellingmolen,1858,4.6180902,51.7792843
De Korenaar,Nederland,Ridderkerk,windmolen,korenmolen,ronde stenen stellingmolen,1843,4.6022335,51.8702526
d ' Heesterboom,Nederland,Leiden,windmolen,houtzaagmolen,8-kante stellingmolen,1804,4.4970097000000004,52.1601144
De Korenaer of Molen Prins Maurits,Nederland,Loosduinen,windmolen,korenmolen,ronde stenen stellingmolen,1721,4.2265081,52.0612975
De Vier Winden,Nederland,Monster,windmolen,korenmolen,ronde stenen stellingmolen,1882,4.1731144,52.0239545
Wippersmolen,Nederland,Maassluis,windmolen,poldermolen,ronde stenen grondzeiler,1726,4.2545656,51.9226067
Dijkmolen,Nederland,Maasland,windmolen,poldermolen,8-kante grondzeiler,1718,4.2728618,51.9350968
De Drie Lelies,Nederland,Maasland,windmolen,korenmolen,ronde stenen grondzeiler,1767,4.2728618,51.9350968
Nieuwe of Kleine Molen (molenrestant),Nederland,Maasland,windmolen,poldermolen,8-kante grondzeiler,1832,4.2728618,51.9350968
Molen van de Oude Lierpolder (vh. Blakermolen),Nederland,De Lier,windmolen,poldermolen,ronde stenen grondzeiler,1717,4.2511632,51.9744488
Groeneveldse Molen,Nederland,Schipluiden,windmolen,poldermolen,ronde stenen grondzeiler,1719,4.3201488,51.975149
De Pelikaan,Nederland,Maaskantje,windmolen,korenmolen,ronde stenen beltmolen,1864,5.3718416,51.6589954
De Genenberg,Nederland,Sint-Michielsgestel,windmolen,korenmolen,ronde stenen beltmolen,1841,5.3528808,51.6413477
Catharina,Nederland,Schijndel,windmolen,korenmolen,ronde stenen beltmolen,1837,5.4334974,51.6196625
De Pegstukken,Nederland,Schijndel,windmolen,korenmolen,ronde stenen beltmolen,1845,5.4334974,51.6196625
St. Antonius Molen,Nederland,Eerde,windmolen,korenmolen,ronde stenen beltmolen,1883,5.4970965,51.6047889
Molen Van de Bergh,Nederland,Sint-Oedenrode,windmolen,korenmolen,ronde stenen stellingmolen,1856,5.4620126,51.5655457
Vogelenzang/Bettmolen,Nederland,Lieshout,windmolen,korenmolen,ronde stenen beltmolen,1819,5.5945613,51.5197504
De Leest,Nederland,Lieshout,windmolen,korenmolen,ronde stenen beltmolen,1900,5.5945613,51.5197504
Elderse Molen of De Ellenaar,Nederland,Mierlo,windmolen,korenmolen,ronde stenen beltmolen,1851,5.6200096,51.4389663
De Victor,Nederland,Someren,windmolen,korenmolen,ronde stenen beltmolen,1853,5.7123668,51.3849667
De Volksvriend,Nederland,Liessel,windmolen,korenmolen,ronde stenen beltmolen,1903,5.821055,51.4141759
Johanna-Elisabeth,Nederland,Vlierden,windmolen,korenmolen,ronde stenen beltmolen,1844,5.7596074,51.4445635
Maria Antoinette,Nederland,Deurne/Zeilberg,windmolen,korenmolen,8-kante beltmolen,1893,5.7950679,51.4642201
Holten's Molen,Nederland,Deurne,windmolen,koren- oliemolen,ronde stenen beltmolen,1890,5.7950679,51.4642201
Laurentia,Nederland,Milheeze,windmolen,korenmolen,8-kante beltmolen,1893,5.7800695,51.5038039
De Volksvriend,Nederland,Gemert,windmolen,korenmolen,ronde stenen beltmolen,1887,5.690366,51.5552886
Kilsdonkse Molen,Nederland,Beugt/Heeswijk-Dinther,watervluchtmolen,korenmolen,ronde stenen stellingmolen,1842,5.486332,51.6504108
Hernense Molen,Nederland,Hernen,windmolen,korenmolen,ronde stenen beltmolen,1745,5.6805759,51.8339481
De Oude Molen,Nederland,Wijchen,windmolen,korenmolen,ronde stenen beltmolen,1799,5.7528948,51.8136739
Jan van Cuijk,Nederland,Cuijk,windmolen,korenmolen,ronde stenen beltmolen,1860,5.879209,51.7289266
"Molen van Milsbeek (naamloos, molenromp)",Nederland,Milsbeek,windmolen,poldermolen,ronde stenen grondzeiler,1910,5.9507432,51.7265999
De Reus,Nederland,Gennep,windmolen,korenmolen,ronde stenen beltmolen,1847,5.9726751,51.6978545
Rust na Arbeid,Nederland,Ven-Zelderheide,windmolen,korenmolen,ronde stenen beltmolen,1881,6.0234434,51.7119985
De Groetermolen,Nederland,Groet / Schoorl,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1890,4.6670183,52.7220044
Hargermolen,Nederland,"Camperduin (Hargen, Schoorl)",windmolen,poldermolen,8-kante grondzeiler binnenkruier,1804,4.6509119,52.7256805
Molen Noorder M,Nederland,Sint Maartensvlotbrug,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1657,4.7086508,52.784475
Molen Ooster N,Nederland,Schagerbrug,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1740,4.7558219,52.8015307
De Traanroeier,Nederland,Oudeschild (Texel),windmolen,korenmolen,8-kante stellingmolen,1902,4.8479885,53.0389751
Het Noorden,Nederland,Oosterend (Texel),windmolen,poldermolen,8-kante grondzeiler,1878,4.8768743,53.0853623
De Lelie,Nederland,Etten-Leur,windmolen,korenmolen,ronde stenen stellingmolen,1804,4.6671384,51.5868855
De Hoop (mogelijk herbouw),Nederland,Breda (Princenhage),windmolen,korenmolen,ronde stenen stellingmolen,1899,4.7433929,51.5781436
De Twee Vrienden,Nederland,Bergen op Zoom/Nieuw-Borgvliet,windmolen,korenmolen,ronde stenen beltmolen,1890,4.3050903,51.4758883
De Witte Molen,Nederland,Rilland,windmolen,korenmolen,ronde stenen stellingmolen,1851,4.1808409,51.4168703
